genome	number of scaffolds	taxonomy	5S rRNA	16S rRNA	23S rRNA	tRNA count
ERR4303218bin.57	88	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				32
ERR4303218bin.59	46	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-552;g__UMGS1880;s__		ERR4303218bin.59_NODE_26_length_201895_cov_62.368668 (154798, 156300)		43
ERR4303218bin.72	92	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__			ERR4303218bin.72_NODE_34492_length_2736_cov_5309.44162 (1, 2631)	19
ERR4303219bin.15	242	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__				23
ERR4303219bin.38	196	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__				10
ERR4303219bin.45	35	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1409;s__UBA1409 sp002338885				44
ERR4303219bin.47	59	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__	ERR4303219bin.47_NODE_3693_length_18711_cov_219.721001 (16998, 17071)		ERR4303219bin.47_NODE_3693_length_18711_cov_219.721001 (17142, 18710)	39
ERR4303219bin.56	78	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__	ERR4303219bin.56_NODE_5006_length_15149_cov_17.263747 (51, 126)			22
ERR4303219bin.59	92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	ERR4303219bin.59_NODE_8199_length_10592_cov_48.035684 (10423, 10534)			20
ERR4303219bin.84	183	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__				20
ERR4303219bin.89	46	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__				37
ERR4303221bin.11	155	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__				16
ERR4303221bin.5	31	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__Rikenella massiliensis				41
ERR4303221bin.62	74	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				41
ERR4303221bin.83	361	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1750;g__UBA7102;s__UBA7102 sp900760085	ERR4303221bin.83_NODE_19259_length_3280_cov_11.564961 (672, 781)			25
ERR4303222bin.38	117	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-776;s__				12
ERR4303222bin.4	85	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	ERR4303222bin.4_NODE_3490_length_15469_cov_38.101596 (15149, 15249)			25
ERR4303222bin.53	58	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	2 present			30
ERR4303222bin.56	298	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__				16
ERR4303222bin.74	171	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__				31
ERR4304397bin.22	146	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__;s__				31
ERR4304397bin.39	134	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__				29
ERR4304397bin.60	130	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	ERR4304397bin.60_NODE_25482_length_3025_cov_7.303704 (2931, 3019)			19
ERR4304397bin.63	55	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-460;s__	ERR4304397bin.63_NODE_3659_length_15374_cov_164.388080 (2531, 2606)	ERR4304397bin.63_NODE_2023_length_23238_cov_158.696372 (20888, 22465)	ERR4304397bin.63_NODE_3659_length_15374_cov_164.388080 (2, 2465)	31
ERR4304450_ERR4303136_ERR4303150bin.29	82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__		ERR4304450_ERR4303136_ERR4303150bin.29_k141_85455 (2, 1258)		31
ERR4304450_ERR4303136_ERR4303150bin.49	27	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1375;s__UBA1375 sp002305795	3 present			43
ERR4304450_ERR4303136_ERR4303150bin.93	172	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae	3 present			69
ERR4304450bin.12	56	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__UBA4716;s__				45
ERR4304450bin.39	77	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS1217;s__	ERR4304450bin.39_NODE_1125_length_43720_cov_89.640032 (1020, 1093)		ERR4304450bin.39_NODE_1125_length_43720_cov_89.640032 (1, 961)	34
ERR4304450bin.42	59	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__An181;s__An181 sp002160325				25
ERR4304450bin.52	47	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	ERR4304450bin.52_NODE_845_length_51307_cov_20.576114 (51065, 51166)			17
ERR4304450bin.54	61	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_D;s__Ruminococcus_D sp900752625				27
ERR4304450bin.57	55	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHKCI001;s__				27
ERR4304450bin.64	73	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__				21
ERR4304450bin.69	108	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UMGS1370;s__				50
ERR4304451bin.10	42	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	5 present			41
ERR4304451bin.12	35	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__				50
ERR4304451bin.13	115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__				24
ERR4304451bin.35	199	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__NSJ-54;s__	ERR4304451bin.35_NODE_5045_length_11445_cov_8.800615 (2038, 2149)			20
ERR4304451bin.39	59	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Merdibacter;s__Merdibacter sp900754715		ERR4304451bin.39_NODE_1442_length_34863_cov_50.468944 (1, 555)		41
ERR4304451bin.41	115	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp000435395	2 present	ERR4304451bin.41_NODE_2067_length_26649_cov_40.469580 (2, 538)		39
ERR4304451bin.49	73	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__				35
ERR4304451bin.5	65	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__		ERR4304451bin.5_NODE_919_length_47265_cov_18.017242 (46714, 47265)		37
ERR4304451bin.56	157	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	ERR4304451bin.56_NODE_10367_length_5066_cov_6.008382 (4956, 5062)			31
ERR4304451bin.59	106	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				21
ERR4304451bin.67	79	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__				22
ERR4304452bin.111	33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__				42
ERR4304452bin.33	38	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA4626;s__	ERR4304452bin.33_NODE_2305_length_25201_cov_12.698560 (293, 405)			31
ERR4304452bin.4	63	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__;s__	ERR4304452bin.4_NODE_18324_length_5318_cov_22.950219 (233, 305)			25
ERR4304452bin.53	143	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__UBA5446 sp900544765				24
ERR4304452bin.57	72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	ERR4304452bin.57_NODE_1992_length_27538_cov_25.462868 (27297, 27394)			14
ERR4304452bin.7	76	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS2016;s__				9
ERR4304452bin.8	86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__RUG14240;s__	2 present			30
ERR4304452bin.98	246	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-382;g__UCG-010;s__		ERR4304452bin.98_NODE_19546_length_5026_cov_8.239388 (2, 530)		24
ERR4304454bin.101	221	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__BX7;g__JAAYBB01;s__				15
ERR4304454bin.104	197	d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__;s__				19
ERR4304454bin.106	129	d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Mucispirillaceae;g__Mucispirillum;s__	ERR4304454bin.106_NODE_5881_length_12855_cov_118.361563 (397, 508)			33
ERR4304454bin.11	47	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__				36
ERR4304454bin.35	109	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__				31
ERR4304454bin.40	106	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__UMGS946;s__UMGS946 sp900544965				36
ERR4304454bin.62	227	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	2 present			11
ERR4304454bin.69	123	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter;s__				35
ERR4304454bin.7	255	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__OEMS01;s__	ERR4304454bin.7_NODE_12575_length_7052_cov_17.894669 (1581, 1691)			21
ERR4304454bin.74	285	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__	ERR4304454bin.74_NODE_15606_length_5978_cov_11.776802 (191, 299)			17
ERR4304454bin.8	290	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__QALR01;s__				22
ERR4304454bin.85	61	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAG-495;s__				38
ERR4304454bin.91	105	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__				22
ERR4304455bin.104	239	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__SCN-57-10;s__				26
ERR4304455bin.16	34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__QAMM01;s__QAMM01 sp900552945	ERR4304455bin.16_NODE_3238_length_21021_cov_25.313985 (20693, 20801)			41
ERR4304455bin.18	39	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__				35
ERR4304455bin.34	90	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__				39
ERR4304455bin.46	254	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__				17
ERR4304455bin.49	59	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-465;g__CAG-465;s__				20
ERR4304455bin.70	49	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA866;s__		ERR4304455bin.70_NODE_262_length_85249_cov_16.344907 (84728, 85248)		31
ERR4304455bin.71	22	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA4626;s__	ERR4304455bin.71_NODE_445_length_66461_cov_31.696428 (140, 252)	ERR4304455bin.71_NODE_579_length_58415_cov_32.217409 (1, 566)		33
ERR4304455bin.75	145	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp900541395				47
ERR4304455bin.77	24	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	ERR4304455bin.77_NODE_1156_length_39901_cov_45.347689 (39167, 39273)		ERR4304455bin.77_NODE_790_length_50241_cov_41.189196 (48330, 50239)	33
ERR4304455bin.84	111	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__				9
ERR4304456bin.102	73	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp003343625				27
ERR4304456bin.13	128	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__				39
ERR4304456bin.14	58	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__				40
ERR4304456bin.19	128	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__				31
ERR4304456bin.21	229	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__	ERR4304456bin.21_NODE_18442_length_5861_cov_8.280055 (5504, 5611)			2
ERR4304456bin.30	29	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Coprobacteraceae;g__;s__				42
ERR4304456bin.40	174	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__UMGS1670;s__				36
ERR4304456bin.46	220	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duodenibacillus;s__				19
ERR4304456bin.54	322	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1591;s__				5
ERR4304456bin.56	39	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Merdimonas;s__Merdimonas faecis				34
ERR4304456bin.59	121	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia sp900765525				32
ERR4304456bin.6	38	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__				33
ERR4304456bin.61	123	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-877;s__	ERR4304456bin.61_NODE_10281_length_9768_cov_86.856378 (427, 505)			29
ERR4304456bin.84	87	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_E				20
ERR4304456bin.87	51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hydrogeniiclostridium;s__Hydrogeniiclostridium sp002160025	ERR4304456bin.87_NODE_5222_length_16977_cov_32.169661 (1224, 1333)			25
ERR4304504bin.1	127	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UMGS1591;s__UMGS1591 sp900553255	2 present			33
ERR4304504bin.13	283	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__UMGS1670;s__				11
ERR4304504bin.21	124	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__				20
ERR4304504bin.26	101	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__CAG-274;g__;s__				22
ERR4304504bin.46	98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum sp002161065				24
ERR4304504bin.6	98	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				25
ERR4304504bin.60	150	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1448;s__	3 present			45
ERR4304504bin.66	146	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__				26
ERR4304504bin.75	283	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__				7
ERR4304504bin.79	15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__Eubacterium_R sp000431535				45
ERR4304504bin.8	64	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__UBA8514;s__				30
ERR4304504bin.9	48	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-793;s__	ERR4304504bin.9_NODE_2361_length_30379_cov_32.451688 (94, 205)			28
ERR4304505bin.10	30	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__				32
ERR4304505bin.105	78	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__CAG-312;g__CAG-312;s__CAG-312 sp001917305				44
ERR4304505bin.107	18	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium sp000436095				48
ERR4304505bin.126	84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__				36
ERR4304505bin.31	87	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__			ERR4304505bin.31_NODE_4474_length_19738_cov_52.994157 (17450, 19737)	16
ERR4304505bin.4	201	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__				31
ERR4304505bin.61	69	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae				43
ERR4304505bin.69	130	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__	ERR4304505bin.69_NODE_15947_length_6728_cov_17.291623 (6312, 6385)			18
ERR4304505bin.95	51	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-138;g__UBA1685;s__				44
ERR4304580bin.21	338	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__				20
ERR4304580bin.33	57	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella excrementihominis				51
ERR4304580bin.57	197	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera elsdenii				38
ERR4304580bin.59	201	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis;s__Victivallis sp002998355				44
ERR4304580bin.85	68	d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__UMGS1518;s__				40
ERR4304580bin.90	35	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UBA11940;s__UBA11940 sp900549005	3 present	ERR4304580bin.90_NODE_71_length_192467_cov_255.899383 (667, 2161)		40
ERR4304580bin.96	289	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Hydrogeniiclostridium;s__	ERR4304580bin.96_NODE_17751_length_4789_cov_45.040135 (1320, 1429)			20
ERR4304669bin.23	78	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				47
ERR4304669bin.6	129	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UMGS1872;s__	2 present			23
ERR4304808bin.12	86	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__				34
ERR4304808bin.16	400	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__Fournierella massiliensis				12
ERR4304808bin.27	69	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	2 present			21
ERR4304808bin.28	248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				30
ERR4304808bin.56	59	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__				32
ERR4336989bin.10	112	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-460;s__				20
ERR4336989bin.105	164	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Romboutsia;s__	ERR4336989bin.105_NODE_20278_length_6162_cov_6.473227 (78, 175)			2
ERR4336989bin.122	110	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__Desulfovibrio sp900556755				55
ERR4336989bin.124	99	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus agilis				21
ERR4336989bin.13	150	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_A;s__				25
ERR4336989bin.2	325	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				16
ERR4336989bin.22	163	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__				11
ERR4336989bin.33	77	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola barnesiae				59
ERR4336989bin.57	187	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-273;s__				16
ERR4336989bin.58	330	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402;s__				7
ERR4336989bin.74	17	ERR4336989bin.74				33
ERR4336989bin.75	272	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__				28
ERR4336989bin.79	24	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__;s__	ERR4336989bin.79_NODE_4316_length_20458_cov_24.445719 (429, 534)	ERR4336989bin.79_NODE_262_length_107137_cov_24.706673 (106237, 107137)	ERR4336989bin.79_NODE_720_length_62880_cov_25.159459 (2, 812)	32
ERR4336989bin.8	91	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__Mailhella sp900555975				47
ERR4336989bin.81	379	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__				12
ERR4336989bin.82	193	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__CAG-74;g__Firm-11;s__Firm-11 sp900540045				40
ERR4336989bin.97	129	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__UBA1242;g__UBA11517;s__	ERR4336989bin.97_NODE_35942_length_3861_cov_4.760641 (517, 618)			34
ERR4835843_bin.17	54	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__Borkfalkia;s__	ERR4835843_bin.17_NODE_108_length_61034_cov_53.856951 (57329, 57437)	ERR4835843_bin.17_NODE_20_length_141095_cov_58.297504 (2, 1182)		44
ERR4835843_bin.18	48	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__UMGS1004 sp900547645				28
ERR4835846_bin.12	170	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__				23
ERR4835846_bin.20	60	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS1572;s__UMGS1572 sp900553045				29
ERR4835846_bin.27	89	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA5446;s__		ERR4835846_bin.27_NODE_149_length_68168_cov_17.292705 (67244, 68168)		41
ERR4835846_bin.30	121	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__Borkfalkiaceae;g__UMGS1004;s__				30
ERR4835846_bin.32	138	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__CAG-451;s__				27
ERR4835847_bin.22	199	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA4871;s__	ERR4835847_bin.22_NODE_8853_length_4104_cov_14.889355 (340, 450)			36
ERR4835848_bin.12	92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__				43
ERR4835848_bin.3	60	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UMGS2068;s__	ERR4835848_bin.3_NODE_890_length_10362_cov_16.201125 (8938, 9003)		ERR4835848_bin.3_NODE_890_length_10362_cov_16.201125 (9109, 10361)	32
